num_candle,entry_type,entry_type_account,entry_number_candle,entry_condition,entry_amount,entry_registration_date,entry_result,sma_30_value,sma_10_value,rsi_value,movement_open_candle,movement_close_candle,movement_high_candle,movement_low_candle,movement_volume_candle
9,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080125,1.080095,1.080135,1.080085,148
10,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080485,1.080425,1.08052,1.080415,123
11,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08036,1.08038,1.080435,1.08036,154
12,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08038,1.08052,1.08052,1.08038,158
13,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08038,1.080315,1.08038,1.080305,153
14,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080385,1.08037,1.080405,1.08036,142
15,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080095,1.08026,1.080265,1.080085,223
16,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080095,1.08011,1.080115,1.080095,10
17,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080355,1.08039,1.0804,1.08032,136
18,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080265,1.080285,1.08031,1.08023,138
19,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080435,1.08049,1.080515,1.080425,161
20,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08034,1.08016,1.08034,1.080155,198
21,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080105,1.080095,1.08016,1.080085,163
22,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08052,1.08047,1.08058,1.08047,148
23,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080375,1.080415,1.08045,1.080365,207
24,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080375,1.0802,1.080395,1.080195,121
25,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.0802,1.08011,1.08024,1.08007,161
26,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080425,1.08034,1.08045,1.08033,199
27,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080305,1.08038,1.080405,1.080305,162
28,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.08009,1.08012,1.08019,1.08009,151
29,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.080155,1.080085,1.080195,1.080085,151
30,0,0,4,1,1,20240613015506,1,1.080343833333333318040085183,1.080336499999999988474996826,14.95327102801837682655021049,1.0804,1.080405,1.08041,1.080365,151
1,1,0,4,1,1,20240618020008,1,1.072962000000000000928442508,1.073194500000000006778577699,73.26732673265237105962867836,1.07297,1.07281,1.073005,1.072805,201
2,1,0,4,1,1,20240618020008,1,1.072962000000000000928442508,1.073194500000000006778577699,73.26732673265237105962867836,1.07298,1.072815,1.072995,1.072785,182
